Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2016-12-10,1,4,20,26,7,0,12,15,159
2016-12-11,1,4,17,22,4,0,9,30,112
2016-12-12,3,1,19,44,17,1,19,28,211
2016-12-13,2,3,19,38,8,0,9,13,165
2016-12-14,0,1,13,43,2,1,1,9,233
2016-12-15,3,1,18,35,10,1,9,9,184
2016-12-16,1,1,12,32,7,1,8,5,233
2016-12-17,2,3,20,28,7,0,0,17,146
2016-12-18,2,5,4,26,7,2,7,9,142
2016-12-19,5,0,31,44,15,0,16,15,206
2016-12-20,1,1,15,35,8,0,11,9,237
2016-12-21,2,2,17,32,11,3,9,14,306
2016-12-22,0,0,19,31,11,0,12,11,266
2016-12-23,1,2,17,24,9,0,9,18,249
2016-12-24,3,1,7,7,3,0,5,14,108
2016-12-25,1,1,7,3,2,0,3,10,81
2016-12-26,4,2,14,8,4,0,4,17,65
2016-12-27,3,1,20,41,3,0,3,16,167
2016-12-28,1,0,17,36,7,0,7,12,132
2016-12-29,2,1,17,35,3,0,5,9,138
2016-12-30,3,0,18,33,6,0,6,7,150
2016-12-31,2,2,11,18,10,2,11,15,124
