Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2009-02-09,15,7,83.0,93,8,0,8,34,172
2009-02-10,14,2,60.0,95,14,3,21,26,162
2009-02-11,10,3,57.0,83,14,4,28,25,182
2009-02-12,6,4,34.0,76,14,0,18,29,191
2009-02-13,8,1,36.0,81,16,0,18,31,325
2009-02-14,15,6,34.0,80,8,1,13,36,147
2009-02-15,8,7,25.0,53,4,0,6,26,74
2009-02-16,11,3,71.0,85,11,0,21,20,173
2009-02-17,11,3,44.0,91,6,1,7,23,156
2009-02-18,4,2,41.0,93,12,3,11,18,242
2009-02-19,3,0,48.0,93,3,0,5,20,178
2009-02-20,7,8,39.0,85,9,1,9,28,206
2009-02-21,10,5,26.0,65,6,0,9,33,135
2009-02-22,8,4,41.0,44,3,0,4,28,64
2009-02-23,12,5,56.0,103,4,0,4,22,175
2009-02-24,7,3,48.0,114,8,2,8,22,181
2009-02-25,6,4,38.0,105,9,0,15,28,131
2009-02-26,4,3,41.0,75,9,1,12,30,152
2009-02-27,11,2,55.0,102,11,0,12,34,183
2009-03-01,3,3,52.0,56,5,0,10,23,61
2009-03-02,6,3,60.0,102,12,1,15,0,164
2009-03-03,11,4,55.0,99,12,4,9,26,128
2009-03-04,11,4,55.0,99,8,0,9,26,128
2009-03-06,7,6,71.0,124,8,1,10,39,151
2009-03-07,8,3,55.0,63,17,0,24,26,205
2009-03-08,8,5,45.0,47,4,1,3,34,109
2009-03-09,5,8,85.0,108,7,0,9,22,140
2009-03-10,4,4,61.0,89,8,0,9,27,163
2009-03-11,13,4,58.0,112,10,1,11,22,144
2009-03-12,2,7,42.0,95,10,0,12,31,184
2009-03-13,8,3,45.0,67,11,1,12,24,260
2009-03-14,12,4,63.0,85,9,1,14,34,99
2009-03-15,7,5,50.0,59,8,0,20,32,95
2009-03-16,8,5,75.0,97,5,0,7,31,136
2009-03-17,6,2,67.0,98,14,4,11,28,154
2009-03-18,8,1,58.0,97,9,1,8,27,147
2009-03-19,7,4,63.0,99,12,1,12,35,176
2009-03-20,6,1,46.0,98,11,0,15,34,180
2009-03-21,12,3,45.0,80,8,0,10,36,103
2009-03-22,6,7,44.0,56,4,0,5,45,68
2009-03-23,10,2,56.0,105,13,0,14,29,168
2009-03-24,5,2,64.0,96,12,0,15,23,194
2009-03-25,10,2,62.0,92,13,0,16,20,282
2009-03-26,5,2,56.0,96,9,0,10,20,150
2009-03-27,6,4,48.0,100,9,0,10,23,157
2009-03-28,9,4,56.0,72,8,0,10,42,0
2009-03-29,8,10,42.0,40,15,1,15,49,81
2009-03-30,6,9,88.0,117,8,0,11,26,173
2009-03-31,12,10,52.0,93,15,1,17,32,139
2009-04-01,13,6,63.0,128,17,1,22,23,154
2009-04-02,9,2,46.0,123,14,1,17,32,154
2009-04-03,9,2,60.0,95,11,0,14,36,188
2009-04-04,7,7,62.0,85,16,3,17,49,128
2009-04-05,7,10,36.0,59,10,0,16,50,61
2009-04-06,11,3,63.0,112,10,0,11,71,169
2009-04-07,10,5,53.0,96,11,0,12,39,157
2009-04-08,11,5,49.0,103,9,0,11,35,161
2009-04-09,7,6,60.0,103,21,0,24,33,142
2009-04-10,9,6,57.0,107,9,0,11,54,136
2009-04-11,9,3,38.0,52,14,1,18,49,92
2009-04-12,2,2,18.0,19,4,0,8,25,47
2009-04-13,14,3,34.0,28,7,1,15,27,52
2009-04-14,9,7,60.0,102,7,0,7,48,133
2009-04-15,10,6,35.0,94,12,1,17,27,179
2009-04-16,10,3,62.0,104,14,2,13,29,159
2009-04-17,11,2,63.0,107,11,2,12,37,131
2009-04-18,2,3,38.0,67,7,0,8,47,112
2009-04-19,7,5,39.0,47,7,0,8,36,85
2009-04-20,7,4,73.0,109,15,3,13,34,133
2009-04-21,10,5,48.0,99,10,0,11,30,154
2009-04-22,9,11,55.0,102,15,1,19,28,145
2009-04-23,5,4,55.0,113,9,1,13,23,132
2009-04-24,9,4,46.0,95,24,2,25,59,170
2009-04-25,8,6,47.0,65,16,0,12,51,117
2009-04-26,9,8,40.0,50,11,2,14,49,87
2009-04-27,15,6,70.0,127,13,0,16,43,165
2009-04-28,6,5,44.0,115,23,2,24,30,156
2009-04-29,5,6,59.0,113,16,2,17,34,129
2009-04-30,4,6,56.0,125,23,0,26,30,158
2009-05-01,9,4,31.0,47,20,4,30,39,100
2009-05-02,3,5,43.0,58,7,0,8,47,91
2009-05-03,3,8,40.0,49,13,1,16,29,72
2009-05-04,6,2,68.0,120,11,1,12,29,143
2009-05-05,5,4,52.0,119,10,0,10,19,108
2009-05-06,4,1,46.0,92,15,0,17,25,220
2009-05-07,8,1,52.0,106,12,0,13,31,147
2009-05-08,8,4,45.0,89,2,0,3,33,184
2009-05-09,8,13,45.0,95,19,1,26,53,128
2009-05-10,12,9,34.0,63,15,4,19,47,85
2009-05-11,8,6,41.0,117,12,1,13,39,176
2009-05-12,8,1,45.0,103,17,2,22,27,159
2009-05-14,4,1,48.0,120,11,0,14,28,117
2009-05-15,5,5,62.0,119,13,1,13,32,152
2009-05-16,10,6,42.0,74,18,0,27,38,162
2009-05-17,9,8,31.0,57,6,0,10,45,79
2009-05-18,11,2,73.0,118,14,5,16,36,158
2009-05-19,9,0,47.0,119,12,0,16,17,208
2009-05-20,6,3,41.0,148,19,0,20,26,154
2009-05-21,8,4,58.0,105,21,1,25,27,162
2009-05-23,8,5,41.0,78,9,0,11,44,107
2009-05-24,5,10,34.0,57,13,2,22,59,81
2009-05-25,7,6,68.0,125,17,1,19,32,144
2009-05-26,9,6,47.0,133,12,1,12,17,177
2009-05-27,4,8,42.0,105,14,0,21,32,164
2009-05-28,0,3,48.0,112,11,0,12,30,165
2009-05-29,7,2,42.0,107,13,0,15,30,213
2009-05-30,8,3,45.0,80,17,2,18,40,136
2009-05-31,7,9,37.0,60,8,0,14,28,69
2009-06-01,6,8,65.0,108,10,0,11,25,152
2009-06-02,9,4,59.0,114,6,2,7,24,139
2009-06-03,7,5,67.0,114,14,0,16,26,164
2009-06-04,11,1,49.0,109,13,0,13,27,156
2009-06-05,11,5,51.0,103,14,0,19,68,143
2009-06-06,6,5,61.0,89,10,0,10,58,118
2009-06-07,9,1,45.0,67,15,1,19,72,78
2009-06-08,7,2,68.0,120,12,3,15,39,0
2009-06-09,4,5,58.0,117,16,1,23,27,147
2009-06-10,8,3,55.0,111,19,0,26,35,266
2009-06-11,6,3,41.0,49,12,1,20,45,61
2009-06-12,9,6,74.0,95,9,1,10,36,144
2009-06-13,7,4,61.0,81,13,4,12,37,87
2009-06-14,5,9,49.0,66,13,1,16,40,80
2009-06-16,9,3,59.0,95,8,0,12,33,168
2009-06-17,11,4,51.0,122,17,1,20,31,175
2009-06-18,11,4,59.0,129,15,1,15,26,0
2009-06-19,13,6,60.0,96,19,1,25,25,239
2009-06-20,7,5,56.0,66,12,3,14,48,149
2009-06-21,10,5,39.0,49,10,1,17,40,49
